lat,lon,date
41.377911,2.1483206,05/24/2014 13:38
41.371348,2.141818,05/24/2014 13:53
41.3920588,2.1807558,05/24/2014 14:08
41.3907591,2.187896,05/24/2014 14:23
41.3895508,2.1839762,05/24/2014 14:53
41.3715467,2.1820937,05/24/2014 15:07
41.3907135,2.1868653,05/24/2014 15:38
41.3945166,2.1775313,05/24/2014 15:52
41.3894962,2.1839927,05/24/2014 16:07
41.3836096,2.1817957,05/24/2014 16:37
41.3835285,2.1814884,05/24/2014 17:07
41.3882113,2.1796468,05/24/2014 18:38
41.3810823,2.1562302,05/24/2014 18:52
41.377115,2.1511681,05/24/2014 19:08
41.3770617,2.1512395,05/24/2014 22:53
41.3770838,2.1512513,05/25/2014 06:37
41.3771329,2.1511516,05/25/2014 09:23
41.3788141,2.149169,05/25/2014 11:37
41.3798904,2.1462336,05/25/2014 11:53
41.3838321,2.1425543,05/25/2014 12:08
41.3836794,2.1425269,05/25/2014 12:37
41.383431,2.1392819,05/25/2014 12:53
41.3839872,2.1397351,05/25/2014 13:07
41.3840617,2.1395465,05/25/2014 13:52
41.3822415,2.1358893,05/25/2014 14:07
41.3801858,2.1429751,05/25/2014 14:23
41.3803926,2.1421984,05/25/2014 14:37
41.3779139,2.1460174,05/25/2014 15:07
41.3823185,2.1469374,05/25/2014 15:23
41.3828458,2.1502135,05/25/2014 15:37
41.3787107,2.1457325,05/25/2014 15:53
41.3787508,2.1458705,05/25/2014 16:53
41.3787445,2.1458694,05/25/2014 18:23
41.3787487,2.1458615,05/25/2014 22:53
41.3787311,2.1457751,05/25/2014 23:08
41.3880376,2.1113862,05/26/2014 08:07
41.3879946,2.1111163,05/26/2014 08:23
41.3847765,2.1104196,05/26/2014 09:23
41.3781556,2.1824349,05/26/2014 09:52
41.3793877,2.1872169,05/26/2014 10:08
41.3753468,2.1887455,05/26/2014 10:22
41.3754907,2.1887724,05/26/2014 12:07
41.3741429,2.1887312,05/26/2014 12:22
41.3741196,2.1887182,05/26/2014 12:37
41.3741381,2.188759,05/26/2014 12:52
